layer,bn,coefficient_of_correlation
Encoder_0,yes,0.4698
Encoder_0,yes,0
Encoder_0,yes,0.5487
Encoder_0,yes,0.5914
Encoder_0,yes,0
Encoder_0,yes,0.2652
Encoder_0,yes,0.3092
Encoder_0,yes,0
Encoder_0,yes,0.1005
Encoder_0,yes,0.3086
Encoder_0,yes,-0.1261
Encoder_0,yes,-0.3342
Encoder_0,yes,0
Encoder_0,yes,0.0681
Encoder_0,yes,0.1186
Encoder_0,yes,0.1773
Encoder_0,yes,0.6835
Encoder_0,yes,0.3649
Encoder_0,yes,0.1542
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.128
Encoder_0,yes,0.0315
Encoder_0,yes,0.2908
Encoder_0,yes,0.226
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.4776
Encoder_0,yes,0.1465
Encoder_0,yes,0.2169
Encoder_0,yes,0.5317
Encoder_0,yes,0.1572
Encoder_0,yes,0.2251
Encoder_0,yes,0.3679
Encoder_0,yes,0.2221
Encoder_0,yes,0.5105
Encoder_0,yes,0
Encoder_0,yes,0.1065
Encoder_0,yes,0.6868
Encoder_0,yes,0.1747
Encoder_0,yes,0.4729
Encoder_0,yes,0.3259
Encoder_0,yes,0.3578
Encoder_0,yes,0.4736
Encoder_0,yes,0.1029
Encoder_0,yes,0.34
Encoder_0,yes,-0.0198
Encoder_0,yes,0.3954
Encoder_0,yes,0
Encoder_0,yes,0.8198
Encoder_0,yes,0.0516
Encoder_0,yes,0.35
Encoder_0,yes,0.0487
Encoder_0,yes,0.4129
Encoder_0,yes,0.2118
Encoder_0,yes,0.2272
Encoder_0,yes,-0.2
Encoder_0,yes,0.596
Encoder_0,yes,0.5745
Encoder_0,yes,0.1001
Encoder_0,yes,0.3438
Encoder_0,yes,0.2485
Encoder_0,yes,-0.0289
Encoder_0,yes,0.7011
Encoder_0,yes,0.1119
Encoder_0,yes,0
Encoder_0,yes,0.5608
Encoder_0,yes,0.2695
Encoder_0,yes,0.1045
Encoder_0,yes,0.3296
Encoder_0,yes,0.2528
Encoder_0,yes,0.0283
Encoder_0,yes,0.3249
Encoder_0,yes,0.6859
Encoder_0,yes,0.5966
Encoder_0,yes,0
Encoder_0,yes,0.1814
Encoder_0,yes,0.3212
Encoder_0,yes,0.6041
Encoder_0,yes,0.3682
Encoder_0,yes,-0.0038
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.3423
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.182
Encoder_0,yes,0.2207
Encoder_0,yes,0
Encoder_0,yes,0.3906
Encoder_0,yes,-0.2362
Encoder_0,yes,0.2537
Encoder_0,yes,0.3625
Encoder_0,yes,0
Encoder_0,yes,0.3438
Encoder_0,yes,0.192
Encoder_0,yes,0.5142
Encoder_0,yes,0
Encoder_0,yes,0.5761
Encoder_0,yes,0
Encoder_0,yes,-0.0105
Encoder_0,yes,0
Encoder_0,yes,0.2811
Encoder_0,yes,0.1956
Encoder_0,yes,0.396
Encoder_0,yes,0.499
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.2296
Encoder_0,yes,0.4688
Encoder_0,yes,0.1966
Encoder_0,yes,0
Encoder_0,yes,0.8252
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.1323
Encoder_0,yes,0
Encoder_0,yes,0.1976
Encoder_0,yes,0.3287
Encoder_0,yes,0.4194
Encoder_0,yes,0
Encoder_0,yes,-0.1496
Encoder_0,yes,0.3674
Encoder_0,yes,0.2669
Encoder_0,yes,0.2647
Encoder_0,yes,0
Encoder_0,yes,0.1812
Encoder_0,yes,0.2061
Encoder_0,yes,0
Encoder_0,yes,0.2023
Encoder_0,yes,0.7445
Encoder_0,yes,0.2701
Encoder_0,yes,0.1741
Encoder_0,yes,0
Encoder_0,yes,0.4594
Encoder_0,yes,0.1777
Encoder_0,yes,0.1149
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.6225
Encoder_0,yes,0.1964
Encoder_0,yes,0.2584
Encoder_0,yes,0.2152
Encoder_0,yes,0.206
Encoder_0,yes,0.1456
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.2579
Encoder_0,yes,0.1814
Encoder_0,yes,0.1818
Encoder_0,yes,0.2031
Encoder_0,yes,0.4309
Encoder_0,yes,0
Encoder_0,yes,0.1273
Encoder_0,yes,0.4266
Encoder_0,yes,0
Encoder_0,yes,0.1377
Encoder_0,yes,0.1566
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.3665
Encoder_0,yes,0.6496
Encoder_0,yes,0.2868
Encoder_0,yes,0.2453
Encoder_0,yes,0.3999
Encoder_0,yes,0.517
Encoder_0,yes,0.1929
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.3179
Encoder_0,yes,0.2618
Encoder_0,yes,0
Encoder_0,yes,0.0188
Encoder_0,yes,-0.1454
Encoder_0,yes,0.2573
Encoder_0,yes,0
Encoder_0,yes,0.1539
Encoder_0,yes,0.1205
Encoder_0,yes,0.517
Encoder_0,yes,0
Encoder_0,yes,0.8219
Encoder_0,yes,0.2797
Encoder_0,yes,0
Encoder_0,yes,0.3352
Encoder_0,yes,0.2785
Encoder_0,yes,0
Encoder_0,yes,0.4434
Encoder_0,yes,-0.3973
Encoder_0,yes,0
Encoder_0,yes,-0.1607
Encoder_0,yes,0.0894
Encoder_0,yes,-0.0667
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.1343
Encoder_0,yes,0.3207
Encoder_0,yes,0.1337
Encoder_0,yes,0.1867
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,-0.1798
Encoder_0,yes,0.5116
Encoder_0,yes,0.258
Encoder_0,yes,-0.1355
Encoder_0,yes,0.0424
Encoder_0,yes,-0.0496
Encoder_0,yes,0.39
Encoder_0,yes,0.28
Encoder_0,yes,0.1228
Encoder_0,yes,0.2546
Encoder_0,yes,0.2847
Encoder_0,yes,0.3089
Encoder_0,yes,0.2142
Encoder_0,yes,0.6276
Encoder_0,yes,0.2789
Encoder_0,yes,0.2286
Encoder_0,yes,0.3656
Encoder_0,yes,0.1733
Encoder_0,yes,0.2937
Encoder_0,yes,0.5806
Encoder_0,yes,0
Encoder_0,yes,-0.1471
Encoder_0,yes,0.4552
Encoder_0,yes,0.3382
Encoder_0,yes,0.5253
Encoder_0,yes,0.358
Encoder_0,yes,0
Encoder_0,yes,0.1937
Encoder_0,yes,0.1354
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,-0.1314
Encoder_0,yes,0.0235
Encoder_0,yes,0.6389
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.7348
Encoder_0,yes,0
Encoder_0,yes,0.3749
Encoder_0,yes,0.1828
Encoder_0,yes,0.2913
Encoder_0,yes,-0.7156
Encoder_0,yes,0.2811
Encoder_0,yes,0.3831
Encoder_0,yes,0.4789
Encoder_0,yes,-0.1846
Encoder_0,yes,0.7551
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.4497
Encoder_0,yes,0.0842
Encoder_0,yes,0.4759
Encoder_0,yes,0.0792
Encoder_0,yes,0.3177
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.0653
Encoder_0,yes,0.166
Encoder_0,yes,0.057
Encoder_0,yes,0.159
Encoder_0,yes,0
Encoder_0,yes,0.1128
Encoder_0,yes,0
Encoder_0,yes,0.4657
Encoder_0,yes,0.485
Encoder_0,yes,0
Encoder_0,yes,0.1501
Encoder_0,yes,0
Encoder_0,yes,0.495
Encoder_0,yes,0.21
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.2744
Encoder_0,yes,0.3142
Encoder_0,yes,-0.0789
Encoder_0,yes,0
Encoder_0,yes,0.0535
Encoder_0,yes,0.0426
Encoder_0,yes,0.1381
Encoder_0,yes,0.1904
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.266
Encoder_0,yes,0
Encoder_0,yes,0.1925
Encoder_0,yes,0.2663
Encoder_0,yes,0.1949
Encoder_0,yes,0.4231
Encoder_0,yes,0
Encoder_0,yes,0.1932
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.3873
Encoder_0,yes,0.2445
Encoder_0,no,0.1357
Encoder_0,no,0
Encoder_0,no,0.6839
Encoder_0,no,-0.1494
Encoder_0,no,0
Encoder_0,no,0.3011
Encoder_0,no,0.1772
Encoder_0,no,0
Encoder_0,no,0.1114
Encoder_0,no,-0.2896
Encoder_0,no,-0.1761
Encoder_0,no,-0.3559
Encoder_0,no,0
Encoder_0,no,-0.0233
Encoder_0,no,-0.1022
Encoder_0,no,0.7654
Encoder_0,no,0.1737
Encoder_0,no,0.1653
Encoder_0,no,-0.1006
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.2585
Encoder_0,no,0.5103
Encoder_0,no,-0.1356
Encoder_0,no,0.6799
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.1929
Encoder_0,no,-0.3101
Encoder_0,no,-0.1362
Encoder_0,no,0.2687
Encoder_0,no,-0.1322
Encoder_0,no,0.4947
Encoder_0,no,0.5698
Encoder_0,no,-0.0069
Encoder_0,no,0.2925
Encoder_0,no,0
Encoder_0,no,-0.2508
Encoder_0,no,0.4606
Encoder_0,no,-0.1659
Encoder_0,no,-0.0612
Encoder_0,no,-0.0656
Encoder_0,no,0.56
Encoder_0,no,-0.0876
Encoder_0,no,0.2382
Encoder_0,no,0.4263
Encoder_0,no,0.1313
Encoder_0,no,-0.3624
Encoder_0,no,0
Encoder_0,no,0.4258
Encoder_0,no,0.2657
Encoder_0,no,0.4994
Encoder_0,no,0.3877
Encoder_0,no,0.0109
Encoder_0,no,0.3103
Encoder_0,no,-0.1047
Encoder_0,no,0.2881
Encoder_0,no,0.6947
Encoder_0,no,-0.3304
Encoder_0,no,-0.1553
Encoder_0,no,0.3248
Encoder_0,no,0.2836
Encoder_0,no,0.1627
Encoder_0,no,0.4429
Encoder_0,no,0.0211
Encoder_0,no,0
Encoder_0,no,0.0182
Encoder_0,no,-0.0144
Encoder_0,no,0.2058
Encoder_0,no,0.0085
Encoder_0,no,-0.1409
Encoder_0,no,-0.1472
Encoder_0,no,0.6492
Encoder_0,no,0.269
Encoder_0,no,0.7391
Encoder_0,no,0
Encoder_0,no,-0.0301
Encoder_0,no,0.3723
Encoder_0,no,-0.0051
Encoder_0,no,0.7026
Encoder_0,no,-0.133
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0.0029
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.0863
Encoder_0,no,0.5473
Encoder_0,no,0
Encoder_0,no,-0.1689
Encoder_0,no,-0.1276
Encoder_0,no,0.7778
Encoder_0,no,0.3169
Encoder_0,no,0
Encoder_0,no,-0.3751
Encoder_0,no,0.3023
Encoder_0,no,0.3686
Encoder_0,no,0
Encoder_0,no,0.2972
Encoder_0,no,0
Encoder_0,no,0.1421
Encoder_0,no,0
Encoder_0,no,0.7817
Encoder_0,no,-0.1333
Encoder_0,no,0.3827
Encoder_0,no,0.5637
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.0173
Encoder_0,no,0.7106
Encoder_0,no,-0.0502
Encoder_0,no,0
Encoder_0,no,0.7614
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.2089
Encoder_0,no,0
Encoder_0,no,0.3812
Encoder_0,no,-0.094
Encoder_0,no,-0.1089
Encoder_0,no,0
Encoder_0,no,0.3175
Encoder_0,no,0.0921
Encoder_0,no,0.6861
Encoder_0,no,-0.1105
Encoder_0,no,0
Encoder_0,no,0.0341
Encoder_0,no,0.0214
Encoder_0,no,0
Encoder_0,no,0.4965
Encoder_0,no,0.7828
Encoder_0,no,0.2922
Encoder_0,no,0.1257
Encoder_0,no,0
Encoder_0,no,-0.1203
Encoder_0,no,0.0843
Encoder_0,no,0.4693
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.2113
Encoder_0,no,0.0098
Encoder_0,no,0.2073
Encoder_0,no,0.5556
Encoder_0,no,0.231
Encoder_0,no,-0.0718
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.3313
Encoder_0,no,0.5569
Encoder_0,no,0.6
Encoder_0,no,0.1072
Encoder_0,no,0.4487
Encoder_0,no,0
Encoder_0,no,-0.2208
Encoder_0,no,0.3529
Encoder_0,no,0
Encoder_0,no,-0.1349
Encoder_0,no,-0.1035
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0.4068
Encoder_0,no,0.0129
Encoder_0,no,0.7479
Encoder_0,no,-0.1527
Encoder_0,no,0.808
Encoder_0,no,-0.3948
Encoder_0,no,0.293
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0.0139
Encoder_0,no,0.6363
Encoder_0,no,0
Encoder_0,no,-0.121
Encoder_0,no,-0.0725
Encoder_0,no,-0.3492
Encoder_0,no,0
Encoder_0,no,0.0525
Encoder_0,no,-0.0157
Encoder_0,no,0.7383
Encoder_0,no,0
Encoder_0,no,0.4016
Encoder_0,no,-0.0993
Encoder_0,no,0
Encoder_0,no,0.2384
Encoder_0,no,0.0015
Encoder_0,no,0
Encoder_0,no,-0.1115
Encoder_0,no,-0.0398
Encoder_0,no,0
Encoder_0,no,-0.0871
Encoder_0,no,-0.0478
Encoder_0,no,0.11
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0.3034
Encoder_0,no,0.152
Encoder_0,no,-0.2318
Encoder_0,no,-0.0176
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.0522
Encoder_0,no,0.4794
Encoder_0,no,-0.0896
Encoder_0,no,-0.0043
Encoder_0,no,0.0536
Encoder_0,no,-0.3896
Encoder_0,no,0.5663
Encoder_0,no,-0.0629
Encoder_0,no,0.1639
Encoder_0,no,0.5944
Encoder_0,no,-0.4356
Encoder_0,no,0.5348
Encoder_0,no,0.6917
Encoder_0,no,-0.3616
Encoder_0,no,-0.1321
Encoder_0,no,0.4881
Encoder_0,no,-0.0001
Encoder_0,no,0.0053
Encoder_0,no,0.2222
Encoder_0,no,0.0857
Encoder_0,no,0
Encoder_0,no,0.0287
Encoder_0,no,0.4512
Encoder_0,no,-0.0043
Encoder_0,no,0.263
Encoder_0,no,0.298
Encoder_0,no,0
Encoder_0,no,-0.1294
Encoder_0,no,-0.1274
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.5477
Encoder_0,no,-0.1941
Encoder_0,no,0.5896
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.0645
Encoder_0,no,0
Encoder_0,no,-0.0621
Encoder_0,no,0.0802
Encoder_0,no,-0.1388
Encoder_0,no,0.5141
Encoder_0,no,0.4976
Encoder_0,no,0.1951
Encoder_0,no,0.0869
Encoder_0,no,-0.1314
Encoder_0,no,-0.0671
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.5365
Encoder_0,no,0.0219
Encoder_0,no,0.3792
Encoder_0,no,-0.2158
Encoder_0,no,0.3027
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0.1992
Encoder_0,no,0.4941
Encoder_0,no,-0.1143
Encoder_0,no,-0.0386
Encoder_0,no,0
Encoder_0,no,-0.2422
Encoder_0,no,0
Encoder_0,no,0.2957
Encoder_0,no,-0.0415
Encoder_0,no,0
Encoder_0,no,-0.1366
Encoder_0,no,0
Encoder_0,no,0.7087
Encoder_0,no,0.5331
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,-0.1595
Encoder_0,no,-0.2767
Encoder_0,no,-0.1112
Encoder_0,no,0
Encoder_0,no,0.0592
Encoder_0,no,0.188
Encoder_0,no,-0.0632
Encoder_0,no,0.2906
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0.2529
Encoder_0,no,0
Encoder_0,no,-0.0522
Encoder_0,no,-0.1496
Encoder_0,no,-0.1315
Encoder_0,no,0.2781
Encoder_0,no,0
Encoder_0,no,0.0726
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0
Encoder_0,no,0.3722
Encoder_0,no,0.2817
Encoder_4,yes,0.68
Encoder_4,yes,0.6152
Encoder_4,yes,0.7008
Encoder_4,yes,0.6565
Encoder_4,yes,0.5438
Encoder_4,yes,0.5993
Encoder_4,yes,0.5077
Encoder_4,yes,0.3141
Encoder_4,yes,0.0588
Encoder_4,yes,0.6051
Encoder_4,yes,0.0505
Encoder_4,yes,0.4486
Encoder_4,yes,0.661
Encoder_4,yes,0.5715
Encoder_4,yes,0.7041
Encoder_4,yes,0.6441
Encoder_4,yes,0.5037
Encoder_4,yes,0.6185
Encoder_4,yes,0.8918
Encoder_4,yes,0.2686
Encoder_4,yes,0.1805
Encoder_4,yes,0.4266
Encoder_4,yes,0.6566
Encoder_4,yes,0.8022
Encoder_4,yes,0.6423
Encoder_4,yes,0.3815
Encoder_4,yes,0.5235
Encoder_4,yes,0.6244
Encoder_4,yes,0.2973
Encoder_4,yes,0.4732
Encoder_4,yes,0.6909
Encoder_4,yes,0.4904
Encoder_4,yes,0.1776
Encoder_4,yes,0.6365
Encoder_4,yes,0.6243
Encoder_4,yes,0.4836
Encoder_4,yes,0.5361
Encoder_4,yes,0.5257
Encoder_4,yes,0.5467
Encoder_4,yes,0.5014
Encoder_4,yes,0.751
Encoder_4,yes,0.6782
Encoder_4,yes,0.5981
Encoder_4,yes,0.5409
Encoder_4,yes,0.362
Encoder_4,yes,0.2551
Encoder_4,yes,0.4102
Encoder_4,yes,0.7255
Encoder_4,yes,0.5529
Encoder_4,yes,0.3028
Encoder_4,yes,0.1886
Encoder_4,yes,0.6842
Encoder_4,yes,0.677
Encoder_4,yes,0.7039
Encoder_4,yes,0.6695
Encoder_4,yes,0.7184
Encoder_4,yes,0.2572
Encoder_4,yes,0.2753
Encoder_4,yes,0.6267
Encoder_4,yes,0.5964
Encoder_4,yes,0.6904
Encoder_4,yes,0.8245
Encoder_4,yes,0.685
Encoder_4,yes,0.6235
Encoder_4,yes,0.6961
Encoder_4,yes,0.5293
Encoder_4,yes,0.5434
Encoder_4,yes,0.3001
Encoder_4,yes,0.6737
Encoder_4,yes,0.4802
Encoder_4,yes,0.7692
Encoder_4,yes,0.5953
Encoder_4,yes,0.4895
Encoder_4,yes,0.4336
Encoder_4,yes,0.7406
Encoder_4,yes,0.5709
Encoder_4,yes,0.5288
Encoder_4,yes,0.625
Encoder_4,yes,0.651
Encoder_4,yes,0.6955
Encoder_4,yes,0.6344
Encoder_4,yes,0.5384
Encoder_4,yes,0.7731
Encoder_4,yes,0.3604
Encoder_4,yes,0.6384
Encoder_4,yes,0.7632
Encoder_4,yes,0.7556
Encoder_4,yes,0.7875
Encoder_4,yes,0.4808
Encoder_4,yes,0.3278
Encoder_4,yes,0.4336
Encoder_4,yes,0.5941
Encoder_4,yes,0.2079
Encoder_4,yes,0.7661
Encoder_4,yes,-0.2982
Encoder_4,yes,0.6463
Encoder_4,yes,0.7712
Encoder_4,yes,0.5681
Encoder_4,yes,0.6759
Encoder_4,yes,0.5593
Encoder_4,yes,0.4528
Encoder_4,yes,0.5513
Encoder_4,yes,0.4412
Encoder_4,yes,0.7258
Encoder_4,yes,0.5441
Encoder_4,yes,0.6454
Encoder_4,yes,0.637
Encoder_4,yes,0.7702
Encoder_4,yes,0.8297
Encoder_4,yes,0.4509
Encoder_4,yes,0.5792
Encoder_4,yes,0.8163
Encoder_4,yes,0.5751
Encoder_4,yes,0.6204
Encoder_4,yes,0.3137
Encoder_4,yes,0.188
Encoder_4,yes,0.7093
Encoder_4,yes,0.4174
Encoder_4,yes,0.412
Encoder_4,yes,0.1434
Encoder_4,yes,0.5228
Encoder_4,yes,0.6009
Encoder_4,yes,0.3726
Encoder_4,yes,0.4885
Encoder_4,yes,0.7474
Encoder_4,yes,0.2842
Encoder_4,yes,0.3198
Encoder_4,yes,0.68
Encoder_4,yes,0.3986
Encoder_4,yes,-0.145
Encoder_4,yes,0.2837
Encoder_4,yes,0.1675
Encoder_4,yes,0.3614
Encoder_4,yes,0.5098
Encoder_4,yes,0.5758
Encoder_4,yes,0.5877
Encoder_4,yes,0.0364
Encoder_4,yes,0.731
Encoder_4,yes,0.6602
Encoder_4,yes,0.6272
Encoder_4,yes,0.4297
Encoder_4,yes,0.7988
Encoder_4,yes,0.6814
Encoder_4,yes,0.0175
Encoder_4,yes,0.6428
Encoder_4,yes,0.3992
Encoder_4,yes,0.6932
Encoder_4,yes,0.6273
Encoder_4,yes,0.5343
Encoder_4,yes,0.83
Encoder_4,yes,0.5517
Encoder_4,yes,0.757
Encoder_4,yes,0.4578
Encoder_4,yes,0.7273
Encoder_4,yes,0.4931
Encoder_4,yes,0.6119
Encoder_4,yes,0.7367
Encoder_4,yes,0.4426
Encoder_4,yes,0.5461
Encoder_4,yes,0.3899
Encoder_4,yes,0.4065
Encoder_4,yes,0.7662
Encoder_4,yes,0.6126
Encoder_4,yes,0.3135
Encoder_4,yes,0.5331
Encoder_4,yes,0.5594
Encoder_4,yes,0.6983
Encoder_4,yes,0.5405
Encoder_4,yes,0.5891
Encoder_4,yes,0.8521
Encoder_4,yes,0.5624
Encoder_4,yes,0.7299
Encoder_4,yes,0.6659
Encoder_4,yes,0.6143
Encoder_4,yes,0.6241
Encoder_4,yes,0.7779
Encoder_4,yes,0.1547
Encoder_4,yes,0.6479
Encoder_4,yes,0.702
Encoder_4,yes,0.1935
Encoder_4,yes,0.3082
Encoder_4,yes,0.4195
Encoder_4,yes,0.386
Encoder_4,yes,0.6524
Encoder_4,yes,0.5684
Encoder_4,yes,0.5443
Encoder_4,yes,0.5262
Encoder_4,yes,0.6093
Encoder_4,yes,0.5034
Encoder_4,yes,0.4451
Encoder_4,yes,0.1298
Encoder_4,yes,0.0469
Encoder_4,yes,0.5868
Encoder_4,yes,0.6264
Encoder_4,yes,0.713
Encoder_4,yes,0.7318
Encoder_4,yes,0.3378
Encoder_4,yes,0.5349
Encoder_4,yes,0.7893
Encoder_4,yes,0.6772
Encoder_4,yes,0.2966
Encoder_4,yes,0.4702
Encoder_4,yes,0.5496
Encoder_4,yes,0.7299
Encoder_4,yes,0.2126
Encoder_4,yes,0.5346
Encoder_4,yes,0.2256
Encoder_4,yes,0.5422
Encoder_4,yes,0.3486
Encoder_4,yes,0.7549
Encoder_4,yes,0.2435
Encoder_4,yes,0.7197
Encoder_4,yes,0.0947
Encoder_4,yes,0.5232
Encoder_4,yes,0.5323
Encoder_4,yes,0.509
Encoder_4,yes,0.1784
Encoder_4,yes,-0.0294
Encoder_4,yes,0.6255
Encoder_4,yes,0.5754
Encoder_4,yes,0.3253
Encoder_4,yes,0.6197
Encoder_4,yes,0.3766
Encoder_4,yes,0.713
Encoder_4,yes,0.5447
Encoder_4,yes,0.0914
Encoder_4,yes,0.3758
Encoder_4,yes,0.7225
Encoder_4,yes,0.082
Encoder_4,yes,0.2928
Encoder_4,yes,0.6222
Encoder_4,yes,0.5626
Encoder_4,yes,0.3602
Encoder_4,yes,0.5827
Encoder_4,yes,0.7468
Encoder_4,yes,0.6032
Encoder_4,yes,0.098
Encoder_4,yes,0.1121
Encoder_4,yes,0.5646
Encoder_4,yes,0.1019
Encoder_4,yes,0.4595
Encoder_4,yes,0.4645
Encoder_4,yes,0.5816
Encoder_4,yes,0.5777
Encoder_4,yes,0.764
Encoder_4,yes,0.5743
Encoder_4,yes,0.4684
Encoder_4,yes,0.2738
Encoder_4,yes,0.418
Encoder_4,yes,0.8428
Encoder_4,yes,0.5115
Encoder_4,yes,0.5125
Encoder_4,yes,0.5356
Encoder_4,yes,0.5799
Encoder_4,yes,0.3633
Encoder_4,yes,0.4247
Encoder_4,yes,0.5728
Encoder_4,yes,0.6866
Encoder_4,yes,0.5445
Encoder_4,yes,0.259
Encoder_4,yes,0.3311
Encoder_4,yes,0.5847
Encoder_4,yes,0.739
Encoder_4,yes,0.5667
Encoder_4,yes,0.7661
Encoder_4,yes,0.3262
Encoder_4,yes,0.1144
Encoder_4,yes,0.6715
Encoder_4,yes,0.59
Encoder_4,yes,0.6471
Encoder_4,yes,0.7029
Encoder_4,yes,0.6756
Encoder_4,yes,0.7657
Encoder_4,yes,0.2329
Encoder_4,yes,0.1508
Encoder_4,yes,0.459
Encoder_4,yes,0.3787
Encoder_4,yes,0.4218
Encoder_4,yes,0.264
Encoder_4,yes,0.6514
Encoder_4,yes,0.4992
Encoder_4,yes,0.6456
Encoder_4,yes,0.7627
Encoder_4,yes,0.5311
Encoder_4,yes,0.6597
Encoder_4,yes,0.0937
Encoder_4,yes,0.4293
Encoder_4,yes,0.7245
Encoder_4,yes,0.8046
Encoder_4,yes,0.6055
Encoder_4,yes,0.6774
Encoder_4,yes,0.5808
Encoder_4,yes,0.6744
Encoder_4,yes,0.3025
Encoder_4,yes,0.5652
Encoder_4,yes,0.5237
Encoder_4,yes,0.7774
Encoder_4,yes,0.6977
Encoder_4,yes,0.6019
Encoder_4,yes,0.6986
Encoder_4,no,0.4935
Encoder_4,no,0.6105
Encoder_4,no,0.3827
Encoder_4,no,0.3426
Encoder_4,no,0.6421
Encoder_4,no,0.338
Encoder_4,no,-0.0615
Encoder_4,no,0.4579
Encoder_4,no,0.2939
Encoder_4,no,0.5002
Encoder_4,no,0.6962
Encoder_4,no,0.5004
Encoder_4,no,0.58
Encoder_4,no,0.4997
Encoder_4,no,0.5932
Encoder_4,no,0.2459
Encoder_4,no,0.4326
Encoder_4,no,0.2955
Encoder_4,no,0.3354
Encoder_4,no,0.0973
Encoder_4,no,0.626
Encoder_4,no,0.5135
Encoder_4,no,0.5214
Encoder_4,no,0.4009
Encoder_4,no,0.7955
Encoder_4,no,0.5023
Encoder_4,no,0.5176
Encoder_4,no,0.3567
Encoder_4,no,0.4397
Encoder_4,no,0.5076
Encoder_4,no,0.3998
Encoder_4,no,0.3524
Encoder_4,no,0.4649
Encoder_4,no,0.1896
Encoder_4,no,0.583
Encoder_4,no,0.2988
Encoder_4,no,0.3679
Encoder_4,no,0.2321
Encoder_4,no,0.6563
Encoder_4,no,0.5975
Encoder_4,no,0.3048
Encoder_4,no,0.6536
Encoder_4,no,0.5205
Encoder_4,no,0.6073
Encoder_4,no,0.2316
Encoder_4,no,0.208
Encoder_4,no,0.1522
Encoder_4,no,0.6581
Encoder_4,no,0.7089
Encoder_4,no,0.6486
Encoder_4,no,0.4134
Encoder_4,no,0.3347
Encoder_4,no,0.1695
Encoder_4,no,0.5273
Encoder_4,no,-0.1282
Encoder_4,no,0.6297
Encoder_4,no,0.5655
Encoder_4,no,0.3944
Encoder_4,no,0.3246
Encoder_4,no,0.2853
Encoder_4,no,0.7125
Encoder_4,no,0.4643
Encoder_4,no,0.3938
Encoder_4,no,0.4209
Encoder_4,no,0.7888
Encoder_4,no,0.4669
Encoder_4,no,0.3395
Encoder_4,no,0.2237
Encoder_4,no,0.4514
Encoder_4,no,0.4452
Encoder_4,no,0.4423
Encoder_4,no,-0.0218
Encoder_4,no,0.2647
Encoder_4,no,0.6857
Encoder_4,no,0.6546
Encoder_4,no,0.5378
Encoder_4,no,0.5319
Encoder_4,no,0.5095
Encoder_4,no,0.3007
Encoder_4,no,0.0426
Encoder_4,no,0.5753
Encoder_4,no,0.6456
Encoder_4,no,0.2094
Encoder_4,no,0.7062
Encoder_4,no,0.6404
Encoder_4,no,0.5075
Encoder_4,no,0.2791
