activation,bn_position,model_num,neuron_idx,correlation
LeakyReLU,before_bn,7,0,0.6207
LeakyReLU,before_bn,7,1,0.7045
LeakyReLU,before_bn,7,2,0.5257
LeakyReLU,before_bn,7,3,0.4169
LeakyReLU,before_bn,7,4,0.6852
LeakyReLU,before_bn,7,5,0.6375
LeakyReLU,before_bn,7,6,0.7875
LeakyReLU,before_bn,7,7,0.639
LeakyReLU,before_bn,7,8,0.7809
LeakyReLU,before_bn,7,9,0.758
LeakyReLU,before_bn,7,10,0.7871
LeakyReLU,before_bn,7,11,0.7655
LeakyReLU,before_bn,7,12,0.211
LeakyReLU,before_bn,7,13,0.6696
LeakyReLU,before_bn,7,14,0.569
LeakyReLU,before_bn,7,15,0.7165
LeakyReLU,before_bn,7,16,0.7925
LeakyReLU,before_bn,7,17,0.6475
LeakyReLU,before_bn,7,18,0.5894
LeakyReLU,before_bn,7,19,0.7242
LeakyReLU,before_bn,7,20,0.7343
LeakyReLU,before_bn,7,21,0.7511
LeakyReLU,before_bn,7,22,0.6909
LeakyReLU,before_bn,7,23,0.7025
LeakyReLU,before_bn,7,24,0.772
LeakyReLU,before_bn,7,25,0.6527
LeakyReLU,before_bn,7,26,0.6794
LeakyReLU,before_bn,7,27,0.5922
LeakyReLU,before_bn,7,28,0.7909
LeakyReLU,before_bn,7,29,0.5987
LeakyReLU,before_bn,7,30,0.6251
LeakyReLU,before_bn,7,31,0.7192
LeakyReLU,before_bn,7,32,0.7825
LeakyReLU,before_bn,7,33,0.4877
LeakyReLU,before_bn,7,34,0.7465
LeakyReLU,before_bn,7,35,0.7654
LeakyReLU,before_bn,7,36,0.7132
LeakyReLU,before_bn,7,37,0.5518
LeakyReLU,before_bn,7,38,0.7917
LeakyReLU,before_bn,7,39,0.7384
LeakyReLU,before_bn,7,40,0.6708
LeakyReLU,before_bn,7,41,0.7268
LeakyReLU,before_bn,7,42,0.7005
LeakyReLU,before_bn,7,43,0.7557
LeakyReLU,before_bn,7,44,0.646
LeakyReLU,before_bn,7,45,0.6865
LeakyReLU,before_bn,7,46,0.5953
LeakyReLU,before_bn,7,47,0.7378
LeakyReLU,before_bn,7,48,0.6259
LeakyReLU,before_bn,7,49,0.761
LeakyReLU,before_bn,7,50,0.65
LeakyReLU,before_bn,7,51,0.6792
LeakyReLU,before_bn,7,52,0.7762
LeakyReLU,before_bn,7,53,0.7009
LeakyReLU,before_bn,7,54,0.8283
LeakyReLU,before_bn,7,55,0.6904
LeakyReLU,before_bn,7,56,0.7099
LeakyReLU,before_bn,7,57,0.7507
LeakyReLU,before_bn,7,58,0.7054
LeakyReLU,before_bn,7,59,0.6879
LeakyReLU,before_bn,7,60,0.7199
LeakyReLU,before_bn,7,61,0.7365
LeakyReLU,before_bn,7,62,0.6978
LeakyReLU,before_bn,7,63,0.5639
LeakyReLU,before_bn,8,0,0.7228
LeakyReLU,before_bn,8,1,0.625
LeakyReLU,before_bn,8,2,0.5902
LeakyReLU,before_bn,8,3,0.7194
LeakyReLU,before_bn,8,4,0.6443
LeakyReLU,before_bn,8,5,0.7774
LeakyReLU,before_bn,8,6,0.545
LeakyReLU,before_bn,8,7,0.7666
LeakyReLU,before_bn,8,8,0.7037
LeakyReLU,before_bn,8,9,0.5731
LeakyReLU,before_bn,8,10,0.6565
LeakyReLU,before_bn,8,11,0.7833
LeakyReLU,before_bn,8,12,0.519
LeakyReLU,before_bn,8,13,0.6205
LeakyReLU,before_bn,8,14,0.7344
LeakyReLU,before_bn,8,15,0.6535
LeakyReLU,before_bn,8,16,0.7362
LeakyReLU,before_bn,8,17,0.7689
LeakyReLU,before_bn,8,18,0.6228
LeakyReLU,before_bn,8,19,0.7159
LeakyReLU,before_bn,8,20,0.7299
LeakyReLU,before_bn,8,21,0.728
LeakyReLU,before_bn,8,22,0.6893
LeakyReLU,before_bn,8,23,0.6075
LeakyReLU,before_bn,8,24,0.8768
LeakyReLU,before_bn,8,25,0.7485
LeakyReLU,before_bn,8,26,0.8119
LeakyReLU,before_bn,8,27,0.6957
LeakyReLU,before_bn,8,28,0.5701
LeakyReLU,before_bn,8,29,0.6889
LeakyReLU,before_bn,8,30,0.7544
LeakyReLU,before_bn,8,31,0.8485
LeakyReLU,before_bn,8,32,0.7412
LeakyReLU,before_bn,8,33,0.4469
LeakyReLU,before_bn,8,34,0.6012
LeakyReLU,before_bn,8,35,0.6833
LeakyReLU,before_bn,8,36,0.6856
LeakyReLU,before_bn,8,37,0.5194
LeakyReLU,before_bn,8,38,0.5632
LeakyReLU,before_bn,8,39,0.677
LeakyReLU,before_bn,8,40,0.47
LeakyReLU,before_bn,8,41,0.7559
LeakyReLU,before_bn,8,42,0.7077
LeakyReLU,before_bn,8,43,0.7372
LeakyReLU,before_bn,8,44,0.6694
LeakyReLU,before_bn,8,45,0.6091
LeakyReLU,before_bn,8,46,0.8233
LeakyReLU,before_bn,8,47,0.8043
LeakyReLU,before_bn,8,48,0.6633
LeakyReLU,before_bn,8,49,0.7781
LeakyReLU,before_bn,8,50,0.7785
LeakyReLU,before_bn,8,51,0.6765
LeakyReLU,before_bn,8,52,0.7141
LeakyReLU,before_bn,8,53,0.5849
LeakyReLU,before_bn,8,54,0.5612
